ID_adherent,Nom,Prenom,Type
2,Guibert,Madeleine,Trimestriel
3,Dumont,Anastasie,Trimestriel
4,Aubry,InÃ¨s,Annuel
5,Laine,Corinne,Trimestriel
6,Nicolas,Lucie,Trimestriel
7,Jacquet,Brigitte,Mensuel
8,Dupont,Christelle,Mensuel
10,Maury,Xavier,Annuel
11,Bertin,Alix,Annuel
12,Torres,Madeleine,Annuel
13,Vasseur,Raymond,Trimestriel
15,Thibault,Lucie,Trimestriel
16,Petitjean,Manon,Trimestriel
20,GÃ©rard,Louise,Mensuel
21,Roger,Tristan,Trimestriel
22,Lemoine,Ã‰ric,Annuel
23,Laporte,Hugues,Trimestriel
24,Langlois,VÃ©ronique,Trimestriel
25,Maillard,AnaÃ¯s,Trimestriel
26,Cohen,Charlotte,Annuel
27,Devaux,Camille,Mensuel
28,Robert,Simone,Mensuel
29,Chauvet,Joseph,Mensuel
30,Riou,Jacqueline,Trimestriel
31,Durand,Diane,Annuel
32,Renard,Philippine,Mensuel
33,LemaÃ®tre,Isabelle,Mensuel
34,Lebreton,Suzanne,Mensuel
38,Collet,Charlotte,Annuel
40,Joly,Astrid,Trimestriel
41,Poirier,Aurore,Annuel
43,Roy,Ã‰lodie,Trimestriel
44,Leduc,Robert,Mensuel
45,Guillon,AndrÃ©,Mensuel
46,Texier,Georges,Trimestriel
47,Petit,Marc,Trimestriel
48,Alexandre,Georges,Mensuel
49,Robin,Yves,Trimestriel
52,Camus,StÃ©phanie,Annuel
54,Faure,JÃ©rÃ´me,Mensuel
58,Imbert,Zacharie,Mensuel
60,Maury,Claude,Mensuel
61,Barbe,Zacharie,Trimestriel
64,Tessier,Benjamin,Mensuel
65,Collin,Diane,Annuel
67,Berger,Franck,Mensuel
69,Berthelot,Lucie,Annuel
70,Charpentier,Pierre,Trimestriel
72,Marin,Daniel,Annuel
73,Thierry,Bertrand,Annuel
74,Vincent,Guillaume,Annuel
75,Renault,Auguste,Trimestriel
76,Laporte,Ã‰lisabeth,Annuel
77,Bruneau,Alex,Trimestriel
79,Adam,FranÃ§oise,Annuel
80,Durand,Emmanuelle,Trimestriel
81,Maillard,Odette,Trimestriel
82,Fischer,Claude,Mensuel
84,Sauvage,Tristan,Trimestriel
85,Besnard,JosÃ©phine,Trimestriel
87,Alves,Antoinette,Annuel
88,Roger,Gilbert,Mensuel
89,"De Sousa",Arnaude,Trimestriel
90,Guillet,Franck,Annuel
91,Leclerc,Matthieu,Mensuel
92,Rolland,GÃ©rard,Trimestriel
93,Humbert,Audrey,Trimestriel
94,Raymond,ClÃ©mence,Trimestriel
95,Delorme,Thomas,Trimestriel
97,Albert,Claire,Annuel
99,Diallo,AimÃ©,Trimestriel
100,Hamon,Adrien,Mensuel
